ID_NUMBER,TYPE,COMPANY,MODEL,FUEL,YEAR,DRIVEKM,PRICE
27366379,경차,기아,올 뉴 모닝 (JA),가솔린,2017,40489,700
27360183,경차,쉐보레(GM대우),스파크,가솔린,2011,48000,330
27289751,경차,기아,올 뉴 모닝 (JA),가솔린,2019,15336,910
27496301,경차,기아,레이,가솔린,2015,40205,870
27484293,경차,기아,레이,가솔린,2012,99400,570
27284633,경차,쉐보레(GM대우),마티즈 크리에이티브,가솔린,2010,115823,240
27243055,경차,기아,더 뉴 모닝,가솔린,2017,67000,799
27068830,경차,기아,더 뉴 모닝,가솔린,2016,17379,680
26634326,경차,기아,올 뉴 모닝 (JA),가솔린,2017,30000,890
26972562,경차,쉐보레(GM대우),스파크,가솔린,2013,40000,390
27026421,경차,기아,올 뉴 모닝,가솔린,2011,60000,500
27026666,경차,기아,뉴모닝,가솔린,2009,100000,270
27253251,경차,쉐보레(GM대우),스파크,가솔린,2011,130000,320
27413400,경차,기아,올 뉴 모닝,가솔린,2011,36727,450
27451806,경차,기아,올 뉴 모닝,가솔린,2012,48963,580
27042799,경차,기아,더 뉴 레이,가솔린,2019,5539,1230
27016618,경차,쉐보레(GM대우),더 넥스트 스파크,가솔린,2017,29178,735
27399408,경차,기아,올 뉴 모닝,가솔린,2012,54900,420
